"v","r","w"
"{""id"":591,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-V1(0):1"",""location"":""K1.B1"",""terminal"":""1"",""id"":""K1.B1-V1(0):1"",""type"":""panel"",""device"":""V1(0)""}}","{""id"":3588,""type"":""conn"",""start"":591,""end"":869,""properties"":{""wire_number"":""349"",""color"":""BU""}}","{""id"":869,""labels"":[""Vertex""],""properties"":{""function"":""P01"",""name"":""=P01+K1.B1-V1:1.1"",""location"":""K1.B1"",""terminal"":""1.1"",""id"":""K1.B1-V1:1.1"",""type"":""panel"",""device"":""V1""}}"
"{""id"":534,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:1"",""location"":""K1.B1"",""terminal"":""P2:1"",""id"":""K1.B1-W5(-P2):P2:1"",""type"":""panel"",""device"":""W5(-P2)""}}","{""id"":3600,""type"":""conn"",""start"":534,""end"":870,""properties"":{""wire_number"":""364"",""color"":""BU""}}","{""id"":870,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-W6(-P2):P2:2"",""location"":""K1.B1"",""terminal"":""P2:2"",""id"":""K1.B1-W6(-P2):P2:2"",""type"":""panel"",""device"":""W6(-P2)""}}"
"{""id"":871,""labels"":[""Vertex""],""properties"":{""function"":""P01"",""name"":""=P01+K1.B1-V1:3.1"",""location"":""K1.B1"",""terminal"":""3.1"",""id"":""K1.B1-V1:3.1"",""type"":""panel"",""device"":""V1""}}","{""id"":3591,""type"":""conn"",""start"":871,""end"":870,""properties"":{""wire_number"":""350"",""color"":""BU""}}","{""id"":870,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-W6(-P2):P2:2"",""location"":""K1.B1"",""terminal"":""P2:2"",""id"":""K1.B1-W6(-P2):P2:2"",""type"":""panel"",""device"":""W6(-P2)""}}"
"{""id"":1066,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.B1-W7(-P2):P2:2"",""location"":""K1.B1"",""terminal"":""P2:2"",""id"":""K1.B1-W7(-P2):P2:2"",""type"":""panel"",""device"":""W7(-P2)""}}","{""id"":3867,""type"":""conn"",""start"":1066,""end"":871,""properties"":{""wire_number"":""607"",""color"":""BU""}}","{""id"":871,""labels"":[""Vertex""],""properties"":{""function"":""P01"",""name"":""=P01+K1.B1-V1:3.1"",""location"":""K1.B1"",""terminal"":""3.1"",""id"":""K1.B1-V1:3.1"",""type"":""panel"",""device"":""V1""}}"
"{""id"":870,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-W6(-P2):P2:2"",""location"":""K1.B1"",""terminal"":""P2:2"",""id"":""K1.B1-W6(-P2):P2:2"",""type"":""panel"",""device"":""W6(-P2)""}}","{""id"":3590,""type"":""conn"",""start"":870,""end"":871,""properties"":{""wire_number"":""350"",""color"":""BU""}}","{""id"":871,""labels"":[""Vertex""],""properties"":{""function"":""P01"",""name"":""=P01+K1.B1-V1:3.1"",""location"":""K1.B1"",""terminal"":""3.1"",""id"":""K1.B1-V1:3.1"",""type"":""panel"",""device"":""V1""}}"
"{""id"":874,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-V2:3.2"",""location"":""K1.B1"",""terminal"":""3.2"",""id"":""K1.B1-V2:3.2"",""type"":""panel"",""device"":""V2""}}","{""id"":3596,""type"":""conn"",""start"":874,""end"":872,""properties"":{""wire_number"":""362"",""color"":""Bridge piece""}}","{""id"":872,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-V1:3.2"",""location"":""K1.B1"",""terminal"":""3.2"",""id"":""K1.B1-V1:3.2"",""type"":""panel"",""device"":""V1""}}"
"{""id"":872,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-V1:3.2"",""location"":""K1.B1"",""terminal"":""3.2"",""id"":""K1.B1-V1:3.2"",""type"":""panel"",""device"":""V1""}}","{""id"":3593,""type"":""conn"",""start"":872,""end"":872,""properties"":{""wire_number"":""360"",""color"":""BU""}}","{""id"":872,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-V1:3.2"",""location"":""K1.B1"",""terminal"":""3.2"",""id"":""K1.B1-V1:3.2"",""type"":""panel"",""device"":""V1""}}"
"{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}","{""id"":4611,""type"":""conn"",""start"":553,""end"":873,""properties"":{""wire_number"":""1155"",""color"":""BU""}}","{""id"":873,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-V2:1.1"",""location"":""K1.B1"",""terminal"":""1.1"",""id"":""K1.B1-V2:1.1"",""type"":""panel"",""device"":""V2""}}"
"{""id"":869,""labels"":[""Vertex""],""properties"":{""function"":""P01"",""name"":""=P01+K1.B1-V1:1.1"",""location"":""K1.B1"",""terminal"":""1.1"",""id"":""K1.B1-V1:1.1"",""type"":""panel"",""device"":""V1""}}","{""id"":3595,""type"":""conn"",""start"":869,""end"":873,""properties"":{""wire_number"":""361"",""color"":""Bridge piece""}}","{""id"":873,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-V2:1.1"",""location"":""K1.B1"",""terminal"":""1.1"",""id"":""K1.B1-V2:1.1"",""type"":""panel"",""device"":""V2""}}"
"{""id"":1568,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X21-X21.6F:2"",""location"":""K1.B1"",""terminal"":""2"",""id"":""K1.B1-X21-X21.6F:2"",""type"":""panel"",""device"":""X21-X21.6F""}}","{""id"":4615,""type"":""conn"",""start"":1568,""end"":874,""properties"":{""wire_number"":""1157"",""color"":""BU""}}","{""id"":874,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-V2:3.2"",""location"":""K1.B1"",""terminal"":""3.2"",""id"":""K1.B1-V2:3.2"",""type"":""panel"",""device"":""V2""}}"
"{""id"":872,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-V1:3.2"",""location"":""K1.B1"",""terminal"":""3.2"",""id"":""K1.B1-V1:3.2"",""type"":""panel"",""device"":""V1""}}","{""id"":3597,""type"":""conn"",""start"":872,""end"":874,""properties"":{""wire_number"":""362"",""color"":""Bridge piece""}}","{""id"":874,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-V2:3.2"",""location"":""K1.B1"",""terminal"":""3.2"",""id"":""K1.B1-V2:3.2"",""type"":""panel"",""device"":""V2""}}"
"{""id"":618,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-X9:1:3"",""location"":""K1.B1"",""terminal"":""1:3"",""id"":""K1.B1-X9:1:3"",""type"":""panel"",""device"":""X9""}}","{""id"":3860,""type"":""conn"",""start"":618,""end"":875,""properties"":{""wire_number"":""602"",""color"":""BU""}}","{""id"":875,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-V1:2.1"",""location"":""K1.B1"",""terminal"":""2.1"",""id"":""K1.B1-V1:2.1"",""type"":""panel"",""device"":""V1""}}"
"{""id"":876,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):X1:9"",""location"":""K1.B1"",""terminal"":""X1:9"",""id"":""K1.B1-W5(-P1):X1:9"",""type"":""panel"",""device"":""W5(-P1)""}}","{""id"":3599,""type"":""conn"",""start"":876,""end"":875,""properties"":{""color"":""BU"",""wire_number"":""1912""}}","{""id"":875,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-V1:2.1"",""location"":""K1.B1"",""terminal"":""2.1"",""id"":""K1.B1-V1:2.1"",""type"":""panel"",""device"":""V1""}}"
"{""id"":875,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-V1:2.1"",""location"":""K1.B1"",""terminal"":""2.1"",""id"":""K1.B1-V1:2.1"",""type"":""panel"",""device"":""V1""}}","{""id"":3598,""type"":""conn"",""start"":875,""end"":876,""properties"":{""color"":""BU"",""wire_number"":""1912""}}","{""id"":876,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):X1:9"",""location"":""K1.B1"",""terminal"":""X1:9"",""id"":""K1.B1-W5(-P1):X1:9"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":629,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-X9:6:5"",""location"":""K1.B1"",""terminal"":""6:5"",""id"":""K1.B1-X9:6:5"",""type"":""panel"",""device"":""X9""}}","{""id"":3992,""type"":""conn"",""start"":629,""end"":877,""properties"":{""wire_number"":""686"",""color"":""BU""}}","{""id"":877,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-W5(-P1):X1:1"",""location"":""K1.B1"",""terminal"":""X1:1"",""id"":""K1.B1-W5(-P1):X1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":984,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.4F:19"",""location"":""K1.B1"",""terminal"":""19"",""id"":""K1.B1-X20-X20.4F:19"",""type"":""panel"",""device"":""X20-X20.4F""}}","{""id"":3746,""type"":""conn"",""start"":984,""end"":877,""properties"":{""wire_number"":""500"",""color"":""BU""}}","{""id"":877,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-W5(-P1):X1:1"",""location"":""K1.B1"",""terminal"":""X1:1"",""id"":""K1.B1-W5(-P1):X1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":878,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.3F:5"",""location"":""K1.B1"",""terminal"":""5"",""id"":""K1.B1-X20-X20.3F:5"",""type"":""panel"",""device"":""X20-X20.3F""}}","{""id"":3603,""type"":""conn"",""start"":878,""end"":877,""properties"":{""wire_number"":""366"",""color"":""BU""}}","{""id"":877,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-W5(-P1):X1:1"",""location"":""K1.B1"",""terminal"":""X1:1"",""id"":""K1.B1-W5(-P1):X1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":877,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-W5(-P1):X1:1"",""location"":""K1.B1"",""terminal"":""X1:1"",""id"":""K1.B1-W5(-P1):X1:1"",""type"":""panel"",""device"":""W5(-P1)""}}","{""id"":3602,""type"":""conn"",""start"":877,""end"":878,""properties"":{""wire_number"":""366"",""color"":""BU""}}","{""id"":878,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.3F:5"",""location"":""K1.B1"",""terminal"":""5"",""id"":""K1.B1-X20-X20.3F:5"",""type"":""panel"",""device"":""X20-X20.3F""}}"
"{""id"":965,""labels"":[""Vertex""],""properties"":{""function"":""O01"",""name"":""=O01+K1.B1-V2:3"",""location"":""K1.B1"",""terminal"":""3"",""id"":""K1.B1-V2:3"",""type"":""panel"",""device"":""V2""}}","{""id"":3715,""type"":""conn"",""start"":965,""end"":879,""properties"":{""wire_number"":""461"",""color"":""BU""}}","{""id"":879,""labels"":[""Vertex""],""properties"":{""function"":""O01"",""name"":""=O01+K1.B1-W5(-P2):X1:1"",""location"":""K1.B1"",""terminal"":""X1:1"",""id"":""K1.B1-W5(-P2):X1:1"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":880,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.3F:6"",""location"":""K1.B1"",""terminal"":""6"",""id"":""K1.B1-X20-X20.3F:6"",""type"":""panel"",""device"":""X20-X20.3F""}}","{""id"":3605,""type"":""conn"",""start"":880,""end"":879,""properties"":{""wire_number"":""368"",""color"":""BU""}}","{""id"":879,""labels"":[""Vertex""],""properties"":{""function"":""O01"",""name"":""=O01+K1.B1-W5(-P2):X1:1"",""location"":""K1.B1"",""terminal"":""X1:1"",""id"":""K1.B1-W5(-P2):X1:1"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":879,""labels"":[""Vertex""],""properties"":{""function"":""O01"",""name"":""=O01+K1.B1-W5(-P2):X1:1"",""location"":""K1.B1"",""terminal"":""X1:1"",""id"":""K1.B1-W5(-P2):X1:1"",""type"":""panel"",""device"":""W5(-P2)""}}","{""id"":3604,""type"":""conn"",""start"":879,""end"":880,""properties"":{""wire_number"":""368"",""color"":""BU""}}","{""id"":880,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.3F:6"",""location"":""K1.B1"",""terminal"":""6"",""id"":""K1.B1-X20-X20.3F:6"",""type"":""panel"",""device"":""X20-X20.3F""}}"
"{""id"":882,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.3F:7"",""location"":""K1.B1"",""terminal"":""7"",""id"":""K1.B1-X20-X20.3F:7"",""type"":""panel"",""device"":""X20-X20.3F""}}","{""id"":3607,""type"":""conn"",""start"":882,""end"":881,""properties"":{""wire_number"":""370"",""color"":""BU""}}","{""id"":881,""labels"":[""Vertex""],""properties"":{""function"":""F01"",""name"":""=F01+K1.B1-K1:34"",""location"":""K1.B1"",""terminal"":""34"",""id"":""K1.B1-K1:34"",""type"":""panel"",""device"":""K1""}}"
"{""id"":881,""labels"":[""Vertex""],""properties"":{""function"":""F01"",""name"":""=F01+K1.B1-K1:34"",""location"":""K1.B1"",""terminal"":""34"",""id"":""K1.B1-K1:34"",""type"":""panel"",""device"":""K1""}}","{""id"":3606,""type"":""conn"",""start"":881,""end"":882,""properties"":{""wire_number"":""370"",""color"":""BU""}}","{""id"":882,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.3F:7"",""location"":""K1.B1"",""terminal"":""7"",""id"":""K1.B1-X20-X20.3F:7"",""type"":""panel"",""device"":""X20-X20.3F""}}"
"{""id"":637,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-X9:8:5"",""location"":""K1.B1"",""terminal"":""8:5"",""id"":""K1.B1-X9:8:5"",""type"":""panel"",""device"":""X9""}}","{""id"":4000,""type"":""conn"",""start"":637,""end"":883,""properties"":{""wire_number"":""690"",""color"":""BU""}}","{""id"":883,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-W5(-P1):X1:2"",""location"":""K1.B1"",""terminal"":""X1:2"",""id"":""K1.B1-W5(-P1):X1:2"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":978,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.4F:21"",""location"":""K1.B1"",""terminal"":""21"",""id"":""K1.B1-X20-X20.4F:21"",""type"":""panel"",""device"":""X20-X20.4F""}}","{""id"":3734,""type"":""conn"",""start"":978,""end"":883,""properties"":{""wire_number"":""486"",""color"":""BU""}}","{""id"":883,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-W5(-P1):X1:2"",""location"":""K1.B1"",""terminal"":""X1:2"",""id"":""K1.B1-W5(-P1):X1:2"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":884,""labels"":[""Vertex""],""properties"":{""function"":""F01"",""name"":""=F01+K1.B1-K1:33"",""location"":""K1.B1"",""terminal"":""33"",""id"":""K1.B1-K1:33"",""type"":""panel"",""device"":""K1""}}","{""id"":3609,""type"":""conn"",""start"":884,""end"":883,""properties"":{""wire_number"":""371"",""color"":""BU""}}","{""id"":883,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-W5(-P1):X1:2"",""location"":""K1.B1"",""terminal"":""X1:2"",""id"":""K1.B1-W5(-P1):X1:2"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":883,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-W5(-P1):X1:2"",""location"":""K1.B1"",""terminal"":""X1:2"",""id"":""K1.B1-W5(-P1):X1:2"",""type"":""panel"",""device"":""W5(-P1)""}}","{""id"":3608,""type"":""conn"",""start"":883,""end"":884,""properties"":{""wire_number"":""371"",""color"":""BU""}}","{""id"":884,""labels"":[""Vertex""],""properties"":{""function"":""F01"",""name"":""=F01+K1.B1-K1:33"",""location"":""K1.B1"",""terminal"":""33"",""id"":""K1.B1-K1:33"",""type"":""panel"",""device"":""K1""}}"
"{""id"":682,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):X1:3"",""location"":""K1.B1"",""terminal"":""X1:3"",""id"":""K1.B1-W5(-P1):X1:3"",""type"":""panel"",""device"":""W5(-P1)""}}","{""id"":3610,""type"":""conn"",""start"":682,""end"":885,""properties"":{""wire_number"":""375"",""color"":""BU""}}","{""id"":885,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.3F:8"",""location"":""K1.B1"",""terminal"":""8"",""id"":""K1.B1-X20-X20.3F:8"",""type"":""panel"",""device"":""X20-X20.3F""}}"
"{""id"":968,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.4F:18"",""location"":""K1.B1"",""terminal"":""18"",""id"":""K1.B1-X20-X20.4F:18"",""type"":""panel"",""device"":""X20-X20.4F""}}","{""id"":3722,""type"":""conn"",""start"":968,""end"":886,""properties"":{""wire_number"":""464"",""color"":""BU""}}","{""id"":886,""labels"":[""Vertex""],""properties"":{""function"":""O01"",""name"":""=O01+K1.B1-W5(-P2):X1:2"",""location"":""K1.B1"",""terminal"":""X1:2"",""id"":""K1.B1-W5(-P2):X1:2"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":887,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.3F:9"",""location"":""K1.B1"",""terminal"":""9"",""id"":""K1.B1-X20-X20.3F:9"",""type"":""panel"",""device"":""X20-X20.3F""}}","{""id"":3613,""type"":""conn"",""start"":887,""end"":886,""properties"":{""wire_number"":""377"",""color"":""BU""}}","{""id"":886,""labels"":[""Vertex""],""properties"":{""function"":""O01"",""name"":""=O01+K1.B1-W5(-P2):X1:2"",""location"":""K1.B1"",""terminal"":""X1:2"",""id"":""K1.B1-W5(-P2):X1:2"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":886,""labels"":[""Vertex""],""properties"":{""function"":""O01"",""name"":""=O01+K1.B1-W5(-P2):X1:2"",""location"":""K1.B1"",""terminal"":""X1:2"",""id"":""K1.B1-W5(-P2):X1:2"",""type"":""panel"",""device"":""W5(-P2)""}}","{""id"":3612,""type"":""conn"",""start"":886,""end"":887,""properties"":{""wire_number"":""377"",""color"":""BU""}}","{""id"":887,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.3F:9"",""location"":""K1.B1"",""terminal"":""9"",""id"":""K1.B1-X20-X20.3F:9"",""type"":""panel"",""device"":""X20-X20.3F""}}"
"{""id"":889,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.3F:10"",""location"":""K1.B1"",""terminal"":""10"",""id"":""K1.B1-X20-X20.3F:10"",""type"":""panel"",""device"":""X20-X20.3F""}}","{""id"":3615,""type"":""conn"",""start"":889,""end"":888,""properties"":{""wire_number"":""379"",""color"":""BU""}}","{""id"":888,""labels"":[""Vertex""],""properties"":{""function"":""F01"",""name"":""=F01+K1.B1-K1:54"",""location"":""K1.B1"",""terminal"":""54"",""id"":""K1.B1-K1:54"",""type"":""panel"",""device"":""K1""}}"
"{""id"":888,""labels"":[""Vertex""],""properties"":{""function"":""F01"",""name"":""=F01+K1.B1-K1:54"",""location"":""K1.B1"",""terminal"":""54"",""id"":""K1.B1-K1:54"",""type"":""panel"",""device"":""K1""}}","{""id"":3614,""type"":""conn"",""start"":888,""end"":889,""properties"":{""wire_number"":""379"",""color"":""BU""}}","{""id"":889,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.3F:10"",""location"":""K1.B1"",""terminal"":""10"",""id"":""K1.B1-X20-X20.3F:10"",""type"":""panel"",""device"":""X20-X20.3F""}}"
"{""id"":6482,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-K39:14"",""location"":""K1.B1"",""terminal"":""14"",""id"":""K1.B1-K39:14"",""type"":""panel"",""device"":""K39""}}","{""id"":5289,""type"":""conn"",""start"":6482,""end"":890,""properties"":{""wire_number"":""1775"",""color"":""BU""}}","{""id"":890,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):X1:4"",""location"":""K1.B1"",""terminal"":""X1:4"",""id"":""K1.B1-W5(-P1):X1:4"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":795,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-X9:12:5"",""location"":""K1.B1"",""terminal"":""12:5"",""id"":""K1.B1-X9:12:5"",""type"":""panel"",""device"":""X9""}}","{""id"":4016,""type"":""conn"",""start"":795,""end"":890,""properties"":{""wire_number"":""698"",""color"":""BU""}}","{""id"":890,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):X1:4"",""location"":""K1.B1"",""terminal"":""X1:4"",""id"":""K1.B1-W5(-P1):X1:4"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":891,""labels"":[""Vertex""],""properties"":{""function"":""F01"",""name"":""=F01+K1.B1-K1:53"",""location"":""K1.B1"",""terminal"":""53"",""id"":""K1.B1-K1:53"",""type"":""panel"",""device"":""K1""}}","{""id"":3617,""type"":""conn"",""start"":891,""end"":890,""properties"":{""wire_number"":""380"",""color"":""BU""}}","{""id"":890,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):X1:4"",""location"":""K1.B1"",""terminal"":""X1:4"",""id"":""K1.B1-W5(-P1):X1:4"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":890,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):X1:4"",""location"":""K1.B1"",""terminal"":""X1:4"",""id"":""K1.B1-W5(-P1):X1:4"",""type"":""panel"",""device"":""W5(-P1)""}}","{""id"":3616,""type"":""conn"",""start"":890,""end"":891,""properties"":{""wire_number"":""380"",""color"":""BU""}}","{""id"":891,""labels"":[""Vertex""],""properties"":{""function"":""F01"",""name"":""=F01+K1.B1-K1:53"",""location"":""K1.B1"",""terminal"":""53"",""id"":""K1.B1-K1:53"",""type"":""panel"",""device"":""K1""}}"
"{""id"":893,""labels"":[""Vertex""],""properties"":{""function"":""F01"",""name"":""=F01+K1.B1-K1:A11"",""location"":""K1.B1"",""terminal"":""A11"",""id"":""K1.B1-K1:A11"",""type"":""panel"",""device"":""K1""}}","{""id"":3621,""type"":""conn"",""start"":893,""end"":892,""properties"":{""wire_number"":""384"",""color"":""BU""}}","{""id"":892,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X22-X22.3F:4"",""location"":""K1.B1"",""terminal"":""4"",""id"":""K1.B1-X22-X22.3F:4"",""type"":""panel"",""device"":""X22-X22.3F""}}"
"{""id"":460,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-A3:13"",""location"":""K1.B1"",""terminal"":""13"",""id"":""K1.B1-A3:13"",""type"":""PLC"",""device"":""A3""}}","{""id"":3618,""type"":""conn"",""start"":460,""end"":892,""properties"":{""wire_number"":""383"",""color"":""BU""}}","{""id"":892,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X22-X22.3F:4"",""location"":""K1.B1"",""terminal"":""4"",""id"":""K1.B1-X22-X22.3F:4"",""type"":""panel"",""device"":""X22-X22.3F""}}"
"{""id"":892,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X22-X22.3F:4"",""location"":""K1.B1"",""terminal"":""4"",""id"":""K1.B1-X22-X22.3F:4"",""type"":""panel"",""device"":""X22-X22.3F""}}","{""id"":3620,""type"":""conn"",""start"":892,""end"":893,""properties"":{""wire_number"":""384"",""color"":""BU""}}","{""id"":893,""labels"":[""Vertex""],""properties"":{""function"":""F01"",""name"":""=F01+K1.B1-K1:A11"",""location"":""K1.B1"",""terminal"":""A11"",""id"":""K1.B1-K1:A11"",""type"":""panel"",""device"":""K1""}}"
"{""id"":1442,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A21:X2:17"",""location"":""K1.B1"",""terminal"":""X2:17"",""id"":""K1.B1-A21:X2:17"",""type"":""PLC"",""device"":""A21""}}","{""id"":4437,""type"":""conn"",""start"":1442,""end"":894,""properties"":{""wire_number"":""1054"",""color"":""BU""}}","{""id"":894,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K1:A2"",""location"":""K1.B1"",""terminal"":""A2"",""id"":""K1.B1-K1:A2"",""type"":""panel"",""device"":""K1""}}"
"{""id"":895,""labels"":[""Vertex""],""properties"":{""function"":""O01"",""name"":""=O01+K1.B1-W5(-P2):X1:4"",""location"":""K1.B1"",""terminal"":""X1:4"",""id"":""K1.B1-W5(-P2):X1:4"",""type"":""panel"",""device"":""W5(-P2)""}}","{""id"":3623,""type"":""conn"",""start"":895,""end"":894,""properties"":{""color"":""BU"",""wire_number"":""491""}}","{""id"":894,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K1:A2"",""location"":""K1.B1"",""terminal"":""A2"",""id"":""K1.B1-K1:A2"",""type"":""panel"",""device"":""K1""}}"
"{""id"":894,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K1:A2"",""location"":""K1.B1"",""terminal"":""A2"",""id"":""K1.B1-K1:A2"",""type"":""panel"",""device"":""K1""}}","{""id"":3622,""type"":""conn"",""start"":894,""end"":895,""properties"":{""color"":""BU"",""wire_number"":""491""}}","{""id"":895,""labels"":[""Vertex""],""properties"":{""function"":""O01"",""name"":""=O01+K1.B1-W5(-P2):X1:4"",""location"":""K1.B1"",""terminal"":""X1:4"",""id"":""K1.B1-W5(-P2):X1:4"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":707,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-A1:9"",""location"":""K1.B1"",""terminal"":""9"",""id"":""K1.B1-A1:9"",""type"":""PLC"",""device"":""A1""}}","{""id"":3624,""type"":""conn"",""start"":707,""end"":896,""properties"":{""wire_number"":""387"",""color"":""BU""}}","{""id"":896,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-K21:33"",""location"":""K1.B1"",""terminal"":""33"",""id"":""K1.B1-K21:33"",""type"":""panel"",""device"":""K21""}}"
